                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66296,                  0.448,                 1.0508,                0.60029,                0.70996,                0.64452,                0.47537,                0.95521,                 1.1804,                  1.245,             0.00054478,             0.00054478,             0.00054478
                     36,                0.66462,                0.44138,                 1.0479,                0.66334,                0.73117,                 0.6821,                0.50071,                0.99239,                  1.097,                 1.3102,             0.00051177,             0.00051177,             0.00051177
                     37,                0.65756,                 0.4393,                 1.0441,                0.65035,                0.75147,                0.71422,                0.53523,                 1.0076,                 1.1083,                  1.309,             0.00047876,             0.00047876,             0.00047876
                     38,                0.64729,                 0.4285,                  1.041,                0.63577,                0.72587,                0.69228,                0.52351,                0.94619,                 1.1586,                 1.2342,             0.00044576,             0.00044576,             0.00044576
                     39,                0.64746,                0.42267,                 1.0452,                 0.6092,                0.73068,                0.65961,                0.49368,                0.95947,                 1.2472,                 1.2608,             0.00041275,             0.00041275,             0.00041275
                     40,                0.63562,                0.41717,                 1.0349,                0.67097,                0.72587,                 0.6941,                0.51241,                0.99668,                 1.1456,                 1.2873,             0.00037974,             0.00037974,             0.00037974
                     41,                0.57039,                0.31544,                0.99576,                0.61116,                0.72475,                0.64084,                0.46939,                 1.0153,                 1.3856,                 1.3595,             0.00034674,             0.00034674,             0.00034674
                     42,                0.55712,                0.30247,                0.98584,                0.67981,                0.68915,                 0.6697,                0.49009,                 1.0364,                 1.1676,                 1.3503,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.5473,                0.29911,                0.97851,                0.64879,                0.71801,                0.65867,                0.49362,                0.96046,                 1.3057,                 1.2472,             0.00028072,             0.00028072,             0.00028072
                     44,                0.54142,                0.28989,                0.97932,                0.62582,                0.76547,                0.70581,                0.52739,                0.94252,                 1.1648,                 1.2301,             0.00024772,             0.00024772,             0.00024772
                     45,                0.52636,                0.28336,                0.96707,                 0.6079,                0.75572,                0.67737,                0.51102,                0.93779,                 1.2896,                 1.2486,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.5225,                0.27946,                0.96893,                0.61262,                0.74332,                  0.681,                0.51624,                0.94792,                 1.2019,                 1.2605,              0.0001817,              0.0001817,              0.0001817
                     47,                0.51003,                0.26781,                0.96047,                0.62492,                0.75661,                0.67627,                  0.509,                0.94494,                 1.2239,                 1.2423,              0.0001487,              0.0001487,              0.0001487
                     48,                0.50921,                0.26692,                0.95795,                0.64763,                0.78052,                0.71355,                0.53717,                0.99361,                 1.1095,                 1.3056,             0.00011569,             0.00011569,             0.00011569
                     49,                0.50335,                0.26785,                0.95408,                0.68926,                 0.7043,                0.70446,                0.53353,                0.94685,                 1.1567,                 1.2572,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.49493,                0.26018,                0.95177,                0.68782,                0.71473,                0.70899,                0.53565,                0.96063,                 1.1351,                 1.2587,             4.9677e-05,             4.9677e-05,             4.9677e-05
